Datetime,Thrust_Value
01.06.2019 08:04,2090.0435
01.06.2019 08:04,1711.7435
01.06.2019 08:04,1620.7435
01.06.2019 08:04,1970.6435
01.06.2019 08:04,2657.1435
01.06.2019 08:04,3252.8435
01.06.2019 08:04,3820.1435
01.06.2019 08:04,4519.4435
01.06.2019 08:04,4900.8435
01.06.2019 08:05,4857.6435
01.06.2019 08:05,4911.3435
01.06.2019 08:05,4535.4435
01.06.2019 08:05,3769.6435
01.06.2019 08:05,3106.9435
01.06.2019 08:05,2664.0435
01.06.2019 08:05,2285.7435
01.06.2019 08:05,2207.4435
01.06.2019 08:05,2305.4435
01.06.2019 08:05,2760.9435
01.06.2019 08:05,3315.3435
01.06.2019 08:05,3825.3435
01.06.2019 08:05,4418.0435
01.06.2019 08:05,4645.1435
01.06.2019 08:05,4917.8435
01.06.2019 08:05,4671.5435
01.06.2019 08:05,4093.2435
01.06.2019 08:05,3450.8435
01.06.2019 08:05,3073.9435
01.06.2019 08:05,2648.5435
01.06.2019 08:05,2381.3435
01.06.2019 08:05,2382.7435
01.06.2019 08:05,2858.4435
01.06.2019 08:05,3571.1435
01.06.2019 08:05,4213.1435
01.06.2019 08:05,4406.1435
01.06.2019 08:05,4766.3435
01.06.2019 08:05,4711.5435
01.06.2019 08:05,4105.8435
01.06.2019 08:05,3355.6435
01.06.2019 08:05,2853.0435
01.06.2019 08:05,2422.2435
01.06.2019 08:05,2258.7435
01.06.2019 08:05,2386.0435
01.06.2019 08:05,2824.5435
01.06.2019 08:05,3442.7435
01.06.2019 08:05,3975.3435
01.06.2019 08:05,4414.9435
01.06.2019 08:05,4639.4435
01.06.2019 08:05,4471.3435
01.06.2019 08:05,4339.5435
01.06.2019 08:05,4062.1435
01.06.2019 08:05,3638.9435
01.06.2019 08:05,3153.4435
01.06.2019 08:05,2822.2435
01.06.2019 08:05,2550.8435
01.06.2019 08:05,2476.8435
01.06.2019 08:05,2645.5435
01.06.2019 08:05,3033.3435
01.06.2019 08:05,3487.3435
01.06.2019 08:05,3912.5435
01.06.2019 08:05,4157.4435
01.06.2019 08:05,4143.0435
01.06.2019 08:05,3842.3435
01.06.2019 08:05,3470.0435
01.06.2019 08:05,3309.1435
01.06.2019 08:05,3329.7435
01.06.2019 08:05,3521.5435
01.06.2019 08:05,3685.0435
01.06.2019 08:05,3811.9435
01.06.2019 08:06,4166.3435
01.06.2019 08:06,4254.1435
01.06.2019 08:06,4119.6435
01.06.2019 08:06,3743.0435
01.06.2019 08:06,3356.5435
01.06.2019 08:06,2994.3435
01.06.2019 08:06,2664.1435
01.06.2019 08:06,2569.1435
01.06.2019 08:06,2708.7435
01.06.2019 08:06,3052.1435
01.06.2019 08:06,3410.5435
01.06.2019 08:06,3775.0435
01.06.2019 08:06,3853.1435
01.06.2019 08:06,3699.2435
01.06.2019 08:06,3509.2435
01.06.2019 08:06,3463.2435
01.06.2019 08:06,3547.9435
01.06.2019 08:06,3776.7435
01.06.2019 08:06,4111.7435
01.06.2019 08:06,4376.7435
01.06.2019 08:06,4454.9435
01.06.2019 08:06,4116.8435
01.06.2019 08:06,3455.6435
01.06.2019 08:06,3124.3435
01.06.2019 08:06,2790.7435
01.06.2019 08:06,2475.9435
01.06.2019 08:06,2469.5435
01.06.2019 08:06,2685.6435
01.06.2019 08:06,2924.3435
01.06.2019 08:06,3166.8435
01.06.2019 08:06,3437.1435
01.06.2019 08:06,3562.1435
01.06.2019 08:06,3596.2435
01.06.2019 08:06,3557.2435
01.06.2019 08:06,3563.4435
01.06.2019 08:06,3612.4435
01.06.2019 08:06,3644.4435
01.06.2019 08:06,3581.4435
01.06.2019 08:06,3461.2435
01.06.2019 08:06,3344.7435
01.06.2019 08:06,3290.4435
01.06.2019 08:06,3303.5435
01.06.2019 08:06,3453.6435
01.06.2019 08:06,3614.0435
01.06.2019 08:06,3781.2435
01.06.2019 08:06,3974.8435
01.06.2019 08:06,3975.4435
01.06.2019 08:06,3770.6435
01.06.2019 08:06,3474.5435
01.06.2019 08:06,3164.1435
01.06.2019 08:06,2879.3435
01.06.2019 08:06,2779.2435
01.06.2019 08:06,2898.4435
01.06.2019 08:06,3200.1435
01.06.2019 08:06,3651.7435
01.06.2019 08:06,4061.3435
